CNT,OECD,MATHAVE,READAVE,SCIEAVE,PARED,LMINS,MMINS,SMINS,OUTHOURS,OUT_homework,OUT_guided_homework,OUT_personal_tutor,OUT_commercial_company,OUT_parents,OUT_computer,TIMEINT,LHOURS,MHOURS,SHOURS,SCHHOURS,COMHOURS
Albania,Non-OECD,394.329333356,393.964251939,397.373213559,12.1205987771,96.4094454986,94.1534893527,80.3632721906,10.7001897533,2.28589500316,1.66582331857,1.32300231921,1.37824161923,1.81931267131,2.22791482184,0.0,1.60682409164,1.56922482255,1.33938786984,4.51543678403,0.0
Argentina,Non-OECD,388.431709907,395.979122702,405.632004986,12.2300270819,113.927725118,110.447698037,83.2362897766,5.88608666215,2.11746784022,0.808564658091,0.679925524712,0.493229519296,0.713947190251,1.07295192959,0.0,1.89879541864,1.84079496728,1.38727149628,5.12686188219,0.0
Australia,OECD,504.150766311,511.803997667,521.494746315,12.546716387,137.404391962,137.595538982,112.818244596,6.04599129894,3.5359436503,0.724466542366,0.266003729024,0.196533388578,0.628823976245,0.69422001243,64.3677232235,2.29007319936,2.29325898304,1.88030407661,6.46363625901,1.07279538706
Austria,OECD,505.54074325,489.609335384,505.781247068,13.4737118822,88.2513144059,95.3066246057,120.47444795,5.23953732913,2.94174553102,0.606309148265,0.244374342797,0.140483701367,0.660778128286,0.645846477392,47.2119873817,1.4708552401,1.58844374343,2.00790746583,5.06720644935,0.786866456362
Belgium,OECD,514.745238583,509.108048529,505.457458843,13.6933814121,122.217401419,122.244620216,94.8120274514,5.22345004071,3.50738629755,0.41933232523,0.207863208096,0.119343957194,0.425031987903,0.544492264744,45.646388275,2.03695669032,2.03741033694,1.58020045752,5.65456748478,0.760773137916
Brazil,Non-OECD,388.508963338,406.533157797,401.619684839,9.8877577588,104.616642366,105.061862112,72.7970735263,5.73984586544,2.04488648198,0.722141220579,0.59003332639,0.733493022287,0.776400749844,0.872891064362,0.0,1.7436107061,1.7510310352,1.21328455877,4.70792630008,0.0
Bulgaria,Non-OECD,438.738259877,436.125725279,446.468709376,13.4676258993,81.875425975,78.8227943961,151.078568724,7.55603937902,3.38867853086,0.974252177206,0.567966679288,0.870124952669,0.624574024991,1.13044301401,0.0,1.36459043292,1.31371323993,2.5179761454,5.19627981825,0.0
Canada,OECD,518.070399596,523.124002967,525.441292143,14.5981711846,185.631962495,186.891988489,180.155031563,5.12894541404,3.07310620126,0.687662458225,0.226002599332,0.169977720015,0.506034162644,0.466162272558,0.0,3.09386604159,3.11486647481,3.00258385939,9.21131637579,0.0
Chile,OECD,422.632355406,441.398163345,444.933919695,13.053092182,196.488477246,207.756709452,155.646149358,5.28077596266,2.34261960327,0.856621936989,0.358518086348,0.203325554259,0.766190198366,0.753500583431,55.5611143524,3.2748079541,3.46261182419,2.5941024893,9.3315222676,0.92601857254
China-Shanghai,Non-OECD,612.675536305,569.588407749,580.117830848,12.6930654819,156.554761445,171.290515743,164.277380722,13.5408537763,8.43789839675,1.61290322581,0.760285879853,1.37512072629,0.522696542399,0.831949005215,31.3121498938,2.60924602408,2.85484192905,2.73795634537,8.2020442985,0.521869164896
